,line,title,image_url,scraped_at,image_name,next_bid_auction,price_buy_now,ends_on,time_remaining,seconds_remaining,sale_type
430,duplo,Duplo Eisenbahn,https://img.ricardostatic.ch/t_1000x750/pl/1149641178/2/1/duplo-eisenbahn.jpg,2020-12-28 10:11:26,430_legosets.jpg,77.0,,2020-12-30 14:45:00,2 days 04:33:34,16414,auction
431,duplo,Lego Duplo Entenfütterung 10581,https://img.ricardostatic.ch/t_1800x1350/pl/1146254010/2/1/,2020-12-28 10:11:30,431_legosets.jpg,12.0,,2021-01-03 15:21:00,6 days 05:09:30,18570,auction
432,duplo,LEGO-DUPLO 1 DUPLOBOX MIT BUNTEN STEINE,https://img.ricardostatic.ch/t_1800x1350/pl/1151956822/0/1/,2020-12-28 10:11:34,432_legosets.jpg,25.0,,2021-01-05 18:59:00,8 days 08:47:26,31646,auction
433,duplo,Lego Duplo Eisenbahn 5608 komplett,https://img.ricardostatic.ch/t_1800x1350/pl/1141674408/9/1/,2020-12-28 10:11:38,433_legosets.jpg,,69.9,2020-12-30 15:04:00,2 days 04:52:22,17542,buy_now
434,duplo,Lego Duplo Hubschrauber Feuerwehr,https://img.ricardostatic.ch/t_1800x1350/pl/1144875040/5/1/,2020-12-28 10:11:42,434_legosets.jpg,19.9,,2020-12-30 23:02:00,2 days 12:50:18,46218,auction
435,duplo,LEGO Duplo - alte Clown Zirkus-Figur,https://img.ricardostatic.ch/t_1800x1350/pl/1146259816/0/1/,2020-12-28 10:11:45,435_legosets.jpg,9.9,,2021-01-04 06:54:00,6 days 20:42:15,74535,auction
436,duplo,Lego Duplo Fahrzeuge,https://img.ricardostatic.ch/t_1800x1350/pl/1150849376/0/1/,2020-12-28 10:11:49,436_legosets.jpg,22.0,49.0,2021-01-03 10:12:00,6 days 00:00:11,11,both
437,duplo,Lego Duplo Wildpark 10584,https://img.ricardostatic.ch/t_1800x1350/pl/1145601738/2/1/,2020-12-28 10:11:53,437_legosets.jpg,50.0,,2021-01-03 09:21:00,5 days 23:09:07,83347,auction
438,duplo,Lego Duplo Wildtiere 10582,https://img.ricardostatic.ch/t_1800x1350/pl/1146253586/2/1/,2020-12-28 10:11:57,438_legosets.jpg,28.0,,2021-01-03 15:21:00,6 days 05:09:03,18543,auction
439,duplo,Lego Duplo Postflugzeug 5592,https://img.ricardostatic.ch/t_1800x1350/pl/1146257778/2/1/,2020-12-28 10:12:01,439_legosets.jpg,12.0,,2021-01-03 15:22:00,6 days 05:09:59,18599,auction
440,duplo,Duplo Set,https://img.ricardostatic.ch/t_1800x1350/pl/1147021010/4/1/,2020-12-28 10:12:04,440_legosets.jpg,32.0,,2020-12-28 20:19:00,0 days 10:06:56,36416,auction
441,duplo,Lego Duplo Eisenbahn Set 5608 komplett!,https://img.ricardostatic.ch/t_1000x750/pl/1141604924/11/1/lego-duplo-eisenbahn-set-5608-komplett.jpg,2020-12-28 10:12:08,441_legosets.jpg,,79.9,2020-12-30 15:05:00,2 days 04:52:52,17572,buy_now
442,duplo,Duplo Lego Bauernhof,https://img.ricardostatic.ch/t_1800x1350/pl/1152053386/0/1/,2020-12-28 10:12:12,442_legosets.jpg,70.0,,2021-01-03 21:02:00,6 days 10:49:48,38988,auction
443,duplo,Duplo Lego,https://img.ricardostatic.ch/t_1800x1350/pl/1152083908/0/1/,2020-12-28 10:12:16,443_legosets.jpg,12.0,,2021-01-04 06:07:00,6 days 19:54:44,71684,auction
444,duplo,Lego DUPLO 10819 Mein erster Garten,https://img.ricardostatic.ch/t_1000x750/pl/1148253934/2/1/lego-duplo-10819-mein-erster-garten.jpg,2020-12-28 10:12:20,444_legosets.jpg,15.0,18.0,2020-12-31 08:51:00,2 days 22:38:40,81520,both
445,duplo,Duplo Fahrzeug,https://img.ricardostatic.ch/t_1800x1350/pl/1150073762/0/1/,2020-12-28 10:12:23,445_legosets.jpg,5.0,,2021-01-04 09:41:00,6 days 23:28:37,84517,auction
446,duplo,Lego Duplo Savanne 10802,https://img.ricardostatic.ch/t_1800x1350/pl/1146253066/2/1/,2020-12-28 10:12:27,446_legosets.jpg,22.0,,2021-01-03 15:22:00,6 days 05:09:33,18573,auction
447,duplo,Duplo/Lego Lot,https://img.ricardostatic.ch/t_1800x1350/pl/1145268048/5/1/,2020-12-28 10:12:31,447_legosets.jpg,35.0,,2020-12-29 20:32:00,1 days 10:19:29,37169,auction
